"trial_id","registry_url","registry","status","crossreg_id","crossreg_euctr","crossreg_drks","crossreg_ctgov","has_premature","has_de_premature","has_cluster_de_protocol","running_id","is_crossreg"
"2014-003581-25","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2014-003581-25","EUCTR","Prematurely Ended",NA,NA,NA,NA,NA,NA,NA,1,FALSE
"2008-003951-54","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2008-003951-54","EUCTR","Completed",NA,NA,NA,NA,NA,NA,NA,2,FALSE
"2013-001657-28","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2013-001657-28","EUCTR","Completed",NA,NA,NA,NA,NA,NA,NA,3,FALSE
"2012-001670-28","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2012-001670-28","EUCTR","Prematurely Ended",NA,NA,NA,NA,NA,NA,NA,4,FALSE
"2013-003306-45","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2013-003306-45","EUCTR","Completed",NA,NA,NA,NA,NA,NA,NA,5,FALSE
"2014-002790-11","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2014-002790-11","EUCTR","Completed",NA,NA,NA,NA,NA,NA,NA,6,FALSE
"2009-015740-42","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2009-015740-42","EUCTR","Prematurely Ended",NA,NA,NA,NA,NA,NA,NA,7,FALSE
"2015-001309-14","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2015-001309-14","EUCTR","Completed",NA,NA,NA,NA,NA,NA,NA,8,FALSE
"2010-018980-41","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2010-018980-41","EUCTR","Completed",NA,NA,NA,NA,NA,NA,NA,9,FALSE
"2017-000435-13","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2017-000435-13","EUCTR","Completed",NA,NA,NA,NA,NA,NA,NA,10,FALSE
"2020-001936-86","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2020-001936-86","EUCTR","Prematurely Ended",NA,NA,NA,NA,NA,NA,NA,11,FALSE
"2011-002812-10","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2011-002812-10","EUCTR","Completed",NA,NA,NA,NA,NA,NA,NA,12,FALSE
"2014-002171-29","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2014-002171-29","EUCTR","Prematurely Ended",NA,NA,NA,NA,NA,NA,NA,13,FALSE
"2016-004825-17","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2016-004825-17","EUCTR","Prematurely Ended",NA,NA,NA,NA,NA,NA,NA,14,FALSE
"2018-002849-11","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2018-002849-11","EUCTR","Prematurely Ended",NA,NA,NA,NA,NA,NA,NA,15,FALSE
"2012-003621-21","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2012-003621-21","EUCTR","Completed",NA,NA,NA,NA,NA,NA,NA,16,FALSE
"2012-003033-42","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2012-003033-42","EUCTR","Completed",NA,NA,NA,NA,NA,NA,NA,17,FALSE
"2010-024225-20","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2010-024225-20","EUCTR","Completed",NA,NA,NA,NA,NA,NA,NA,18,FALSE
"2015-002465-28","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2015-002465-28","EUCTR","Completed",NA,NA,NA,NA,NA,NA,NA,19,FALSE
"2020-002510-40","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2020-002510-40","EUCTR","Prematurely Ended",NA,NA,NA,NA,NA,NA,NA,20,FALSE
"2014-005344-17","https://www.clinicaltrialsregister.eu/ctr-search/search?query=2014-005344-17","EUCTR","Completed",NA,NA,NA,NA,NA,NA,NA,21,FALSE
